last_name,first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Urías, Luis,649966,378,14.2,34.9,111.5,87.9,93.4,84.8,427,167,397,153,14.5,40.5,35,9.3,6.1
Kelenic, Jarred,672284,232,14.4,33.2,110.9,87.5,92.7,83.8,435,173,402,91,13,39.2,23,9.9,6.1
Urías, Ramón,602104,186,5.2,34.4,112.7,89.6,94,87,424,149,395,79,14.4,42.5,18,9.7,6.1
Aguilar, Jesús,542583,363,19,34.7,110.6,89.6,92.5,87.4,444,194,399,149,16.1,41,31,8.5,6.1
Candelario, Jeimer,600869,422,12.6,38.6,111,88.7,91.7,85.9,436,173,396,165,13.6,39.1,38,9,6.1
Carpenter, Matt,572761,131,21.1,45,106.9,90,93.5,83.8,398,217,391,55,12.6,42,15,11.5,6
India, Jonathan,663697,396,13.1,33.6,110.2,87.6,93,83.4,451,166,407,153,14.9,38.6,38,9.6,6
Polanco, Gregory,570256,240,15.9,32.5,116.2,89.9,95.8,86.1,428,180,408,116,15.6,48.3,23,9.6,6
Taylor, Chris,621035,344,17.4,38.1,110.7,88.2,92.7,82.8,443,186,404,131,12.1,38.1,35,10.2,6
McCormick, Chas,676801,187,18.6,35.8,108.2,90.3,94.4,84.5,438,199,391,92,15.4,49.2,19,10.2,5.9
Santander, Anthony,623993,310,18,34.5,112.8,90.7,94.2,90,443,182,406,135,14.5,43.5,26,8.4,5.9
Díaz, Elias,553869,279,14.7,30.1,109.5,87.1,91.4,85.3,451,170,404,105,15.6,37.6,22,7.9,5.9
Meadows, Austin,640457,404,21.7,36.1,110.3,89.3,91.9,87.4,443,202,394,153,13.9,37.9,35,8.7,5.9
Lowe, Nathaniel,663993,398,5,31.4,113.9,90.8,93,89.4,465,148,413,181,15.1,45.5,38,9.5,5.9
Reyes, Victor,622682,157,6.6,37.6,109.8,89.5,92.2,87.6,429,156,376,55,11.6,35,13,8.3,5.9
Marte, Starling,516782,371,4.6,32.6,112.9,87.6,93.4,84.5,436,140,418,147,15.3,39.6,31,8.4,5.9
Ibáñez, Andy,628451,220,15.5,35.5,108.1,88.8,91.4,86.8,416,177,394,85,17.8,38.6,16,7.3,5.9
Slater, Austin,596103,190,7.8,37.4,109.9,87.1,93.3,81.6,467,154,409,79,14.7,41.6,18,9.5,5.9
Jansen, Danny,643376,141,20.5,34.8,111.2,90,95.4,84.5,448,184,400,63,16.1,44.7,12,8.5,5.9
Piscotty, Stephen,572039,125,17.5,32.8,109.7,86.1,92,81.8,415,169,405,46,12.6,36.8,11,8.8,5.9
Goodrum, Niko,592348,185,13.4,37.8,109.2,88,93.6,81,432,178,404,74,11.4,40,19,10.3,5.8
Conforto, Michael,624424,304,13.2,32.9,111.3,88.5,93.5,84.4,469,167,408,120,13.7,39.5,28,9.2,5.8
Hernández, Enrique,571771,405,17.9,36.5,111.3,90.8,93.7,88.1,434,192,393,175,17.3,43.2,34,8.4,5.8
Anderson, Tim,641313,409,4.3,32.5,110.2,89.6,94.8,86.3,417,142,389,171,14.7,41.8,32,7.8,5.8
Mullins, Cedric,656775,482,14.8,35.7,109.7,89.4,92.4,88.7,440,175,397,190,16.3,39.4,39,8.1,5.8
Lindor, Francisco,596019,365,14.4,35.6,112.9,90.7,94,88.3,436,177,396,161,16.3,44.1,30,8.2,5.7
Chisholm Jr., Jazz,665862,324,9,29,112.1,90.2,94.7,87,446,155,405,136,14.2,42,29,9,5.7
Turner, Justin,457759,441,19.2,36.5,109.8,90.9,93.3,89,425,193,394,187,17.1,42.4,35,7.9,5.7
Cabrera, Miguel,408234,363,10,32.8,112.6,91.4,95.9,88.1,445,163,394,178,17.7,49,30,8.3,5.7
Luplow, Jordan,656669,106,23.1,28.3,109.4,86.8,93.1,81.1,432,195,392,34,9,32.1,11,10.4,5.7
Urshela, Gio,570482,312,7.5,36.2,110.4,88.9,93.2,85.4,453,158,398,131,14.3,42,25,8,5.7
Baddoo, Akil,668731,294,13.8,37.4,111.8,86,91.1,80.9,450,175,385,95,11,32.3,26,8.8,5.6
Collins, Zack,641470,127,20.9,40.9,109.9,91.1,94.2,87.7,430,200,405,56,13.7,44.1,13,10.2,5.6
Naylor, Josh,647304,188,9,31.4,114.7,89.8,94.7,88,435,145,399,80,17.4,42.6,14,7.4,5.6
Shaw, Travis,543768,155,19.9,31.6,111.7,87.7,94,83,449,185,402,60,12.4,38.7,14,9,5.6
Toro, Abraham,647351,283,13.7,29.7,109,86.8,90.1,84.1,430,173,382,96,13.3,33.9,21,7.4,5.6
Realmuto, J.T.,592663,349,11.5,31.2,111.2,89.6,94.3,85.9,433,161,382,156,15,44.7,30,8.6,5.6
McCutchen, Andrew,457705,357,14.6,33.6,110.8,88.8,93.4,83.9,445,176,402,141,14.7,39.5,32,9,5.6
Turner, Trea,607208,489,11.4,34.6,112.2,89.6,92.6,88.1,443,160,406,226,18.5,46.2,36,7.4,5.6
Kelly, Carson,608348,235,18.6,37.9,109.2,88.2,92.2,84.1,438,193,396,80,12.9,34,20,8.5,5.6
Rizzo, Anthony,519203,414,14.8,31.4,115.2,90.1,93.1,88.1,449,170,401,170,16.4,41.1,32,7.7,5.6
Odor, Rougned,596059,223,19.6,29.6,112.1,89.1,94.3,84.2,443,174,398,84,12.4,37.7,20,9,5.5
Dozier, Hunter,641531,339,15.8,33,113,89.9,94.1,87.3,434,184,406,143,14.1,42.2,30,8.8,5.5
Solano, Donovan,456781,254,11,39.8,108.1,88.3,92,84.1,410,178,390,93,14.2,36.6,19,7.5,5.5
O'Hearn, Ryan,656811,168,14.3,33.3,110.6,90.8,94.4,87.1,431,176,397,76,15.3,45.2,14,8.3,5.5
Posey, Buster,457763,310,8.7,38.4,109.2,88.5,93.8,83.4,428,161,387,122,15.6,39.4,25,8.1,5.5
Frazier, Clint,640449,118,13.9,28.8,111.5,86.9,94.2,83.3,418,153,379,49,13.6,41.5,12,10.2,5.5
Phillips, Brett,621433,144,17.8,31.9,106.6,89.6,94.7,81.8,428,201,396,65,12.6,45.1,16,11.1,5.5
Verdugo, Alex,657077,453,7.7,34.9,110.8,90,94.6,87.2,446,151,402,196,18.7,43.3,33,7.3,5.5
Betts, Mookie,605141,385,18.9,34,107.9,90.3,93.3,87.1,427,187,396,158,17.5,41,30,7.8,5.5
Cronenworth, Jake,630105,483,12.5,35.8,110.8,88.6,92.2,86.5,445,168,398,169,16.2,35,35,7.2,5.4
Rojas, Jose,670351,118,19,32.2,111,90.7,95,86.9,437,183,407,52,15.6,44.1,10,8.5,5.4
Torres, Gleyber,650402,361,14.2,37.1,111.6,87.1,92,82.1,425,171,389,129,13.3,35.7,28,7.8,5.4
Stewart, DJ,621466,181,19.7,29.3,110.6,87.8,92.4,86.5,437,177,398,62,10,34.3,17,9.4,5.3
Mercedes, Yermín,606213,195,15.8,35.4,116.8,87.3,91.7,83.9,485,168,439,57,9.7,29.2,14,7.2,5.3
Moran, Colin,592567,234,7.2,34.2,110.2,89.1,93.5,85.6,432,152,392,87,12.8,37.2,19,8.1,5.3
Choi, Ji-Man,596847,171,14.8,38.6,112.9,91.3,95.5,88.1,437,175,400,80,14.8,46.8,16,9.4,5.2
d'Arnaud, Travis,518595,157,5.9,33.8,110.2,89.9,94,85.8,423,162,391,69,15.2,43.9,12,7.6,5.2
McKinstry, Zach,656716,111,13.7,36,106.2,88.4,92.9,83.7,409,184,384,39,12,35.1,9,8.1,5.2
Arenado, Nolan,571448,504,20,34.1,110.6,89,92.1,87.4,408,190,387,189,16.5,37.5,34,6.7,5.2
Martin, Jason,641829,105,11.4,33.3,108.1,87.5,93.2,82.9,421,154,401,35,11.7,33.3,8,7.6,5.2
Pillar, Kevin,607680,245,20.2,34.7,110.5,85.8,91.3,83.1,418,182,393,78,11.3,31.8,18,7.3,5.2
Taylor, Tyrone,621438,185,16,29.7,110.8,88.6,91.4,89.1,440,167,405,69,13.4,37.3,14,7.6,5.2
Blackmon, Charlie,453568,426,10.2,32.6,109.8,87.6,92.7,84.4,444,158,410,164,16.2,38.5,30,7,5.2
Alfaro, Jorge,595751,196,1.8,27.6,115.7,90.9,96.7,86.9,432,134,413,96,14.7,49,16,8.2,5.1
Varsho, Daulton,662139,218,18,31.7,110.9,87.7,92.1,85.7,431,180,409,87,14,39.9,16,7.3,5.1
Duggar, Steven,621453,180,15.2,40,109.1,88,92.2,82.5,427,189,387,61,12.4,33.9,15,8.3,5.1
Schoop, Jonathan,570731,498,10.8,30.1,117.1,88.1,91.7,87.9,440,146,395,200,14.7,40.2,34,6.8,5
Moore, Dylan,664238,222,20.4,33.3,110.3,86.5,90.5,84.3,427,184,402,74,11.2,33.3,19,8.6,5
Vogelbach, Daniel,596129,158,11.7,33.5,114.3,91.4,94.4,89.9,411,166,392,77,19.9,48.7,13,8.2,5
Severino, Pedro,600474,275,15.2,33.5,114.6,88.2,93.8,85.5,442,161,407,106,13.1,38.5,21,7.6,5
Díaz, Yandy,650490,384,6.6,28.9,113.5,89.9,93,89.2,439,146,397,156,18,40.6,27,7,5
Bader, Harrison,664056,284,13.3,27.1,111.5,86.2,91.3,82.7,453,163,405,90,12.1,31.7,20,7,5
Ramirez, Harold,623912,286,6.2,24.5,114.8,91.3,95.1,90.4,428,137,393,135,18.3,47.2,18,6.3,5
Larnach, Trevor,663616,158,13.1,34.8,116,90,93.6,87.5,461,164,424,65,12.2,41.1,15,9.5,5
Mazara, Nomar,608577,121,11.1,33.1,111.5,90.4,93.4,89.3,391,155,371,48,13.3,39.7,9,7.4,5
Arroyo, Christian,624414,121,9.4,35.5,111.6,86.3,92.1,82.9,467,156,413,43,11.1,35.5,9,7.4,5
Arozarena, Randy,668227,364,7.6,29.7,112.6,89.9,94.5,87.3,445,151,401,154,14.1,42.3,30,8.2,5
La Stella, Tommy,600303,195,13.5,36.9,106.8,88.9,91.7,87.2,415,171,398,65,15.9,33.3,12,6.2,5
Nuñez, Dom,624513,138,21.9,39.1,107.8,86,92.6,77.3,431,203,408,43,9.3,31.2,13,9.4,4.9
Anderson, Brian,605119,168,11.3,33.9,108.7,88.8,92.6,86.4,421,155,387,65,12.6,38.7,13,7.7,4.9
Murphy, Tom,608596,181,15.9,30.9,109.4,88.6,94.3,84.3,419,162,387,69,11.7,38.1,16,8.8,4.9
France, Ty,664034,471,11,35.9,111.1,88.5,92.5,85.5,442,161,402,183,15.2,38.9,32,6.8,4.9
Lagares, Juan,501571,238,8.8,34.9,112.2,90.6,94,88.7,426,162,400,102,16.7,42.9,16,6.7,4.9
Zimmer, Bradley,605548,181,7,30.4,113.9,90.7,95.2,87.4,471,160,438,77,12.7,42.5,17,9.4,4.9
Moncada, Yoán,660162,365,11.3,40,113.8,90.1,92.8,88,433,167,402,149,13.5,40.8,30,8.2,4.9
Altuve, Jose,514888,517,15.6,32.1,109.1,87.7,92.9,84.1,435,168,386,181,15.5,35,33,6.4,4.9
Santana, Carlos,467793,468,12.9,28,111.2,89.9,94.1,88.2,447,156,408,196,16.7,41.9,32,6.8,4.9
Chang, Yu,644374,169,19.1,37.9,110.6,87.1,91.6,84,439,179,392,57,11.9,33.7,12,7.1,4.8
Villar, Jonathan,542340,324,7,29.9,114.9,88,93.2,84.7,437,152,404,113,11.6,34.9,24,7.4,4.8
Gamel, Ben,592325,241,16.7,41.5,108.5,89,92.6,84,423,201,395,88,12.5,36.5,19,7.9,4.8
Bregman, Alex,608324,299,15.9,33.8,107.5,89,92,87.6,418,172,383,114,17.3,38.1,19,6.4,4.8
Rengifo, Luis,650859,141,11.7,29.8,108.9,85.8,90.7,83.2,414,149,396,38,10.3,27,9,6.4,4.7
Brantley, Michael,488726,417,9.9,38.8,109.4,89.5,92.8,87.6,424,160,398,179,21.1,42.9,24,5.8,4.7
Hernández, César,514917,438,10.7,32.6,110.2,87.4,90.6,85.3,425,164,394,145,12.7,33.1,30,6.8,4.7
Díaz, Aledmys,649557,232,13.6,34.1,110,88.7,94,87.5,412,159,385,104,17.1,44.8,15,6.5,4.7
McMahon, Ryan,641857,386,14.3,40.2,111.5,90.5,93.9,86.8,478,186,409,168,14.4,43.5,28,7.3,4.7
