player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
Connor Joe,656582,2022,49,46,17,12,86,20,16,4,13,52,92,69,36,28
Vimael Machín,605353,2022,,,,,,,,,,,,,6,
Taylor Trammell,666211,2022,,,,,,,,,,,,,42,
Ehire Adrianza,501303,2022,,,,,,,,,,,,,34,
Tucker Barnhart,571466,2022,,,,,,,,,,,,,1,
Brandon Belt,474832,2022,75,15,74,88,70,57,94,50,57,14,95,13,5,8
Thairo Estrada,642731,2022,39,70,31,19,48,17,12,13,17,82,13,78,71,63
Orlando Arcia,606115,2022,,,,,,,,,,,,,33,28
Jonathan India,663697,2022,,,,,,,,,,,,,68,43
Ryan Jeffers,680777,2022,,,,,,,,,,,,,21,
Leury Garcia,544725,2022,2,29,6,8,2,14,18,16,29,51,1,50,79,28
Will Smith,669257,2022,94,83,93,90,91,84,75,79,77,79,78,83,53,
Lourdes Gurriel Jr.,666971,2022,58,84,55,34,63,23,17,78,77,75,29,63,49,28
Zack Collins,641470,2022,,,,,,,,,,,,,6,
Ernie Clement,676391,2022,,,,,,,,,,,,,76,77
MJ Melendez,669004,2022,44,20,39,54,47,44,62,66,50,25,84,29,64,
Anthony Bemboom,621532,2022,,,,,,,,,,,,,42,
Raimel Tapia,606132,2022,29,81,46,27,23,31,34,38,56,70,1,71,74,8
Tim Anderson,641313,2022,83,98,78,37,81,40,31,34,59,85,4,62,78,28
Ketel Marte,606466,2022,61,55,41,34,78,44,33,71,57,73,83,67,51,6
Jesús Aguilar,542583,2022,30,45,47,44,22,48,38,19,24,41,17,37,2,28
Nicky Lopez,670032,2022,8,49,5,1,29,1,1,4,1,90,17,88,64,93
Luke Williams,663897,2022,,,,,,,,,,,,,91,
Tyler Nevin,663527,2022,,,,,,,,,,,,,13,18
Nathaniel Lowe,663993,2022,58,79,70,57,44,69,55,61,63,33,28,36,34,1
Gabriel Moreno,672515,2022,,,,,,,,,,,,,60,
Nick Madrigal,663611,2022,,,,,,,,,,,,,51,77
Justin Turner,457759,2022,53,53,52,47,63,57,48,52,43,77,67,79,7,63
Garrett Stubbs,596117,2022,,,,,,,,,,,,,50,
Dominic Smith,642086,2022,,,,,,,,,,,,,29,
Vidal Bruján,660644,2022,,,,,,,,,,,,,85,63
Aaron Judge,592450,2022,100,98,100,100,97,100,100,100,100,24,88,29,50,84
Victor Robles,645302,2022,1,2,1,4,2,8,13,1,1,26,8,29,84,63
Robbie Grossman,543257,2022,12,6,2,9,40,8,12,14,15,12,88,56,66,28
Yuli Gurriel,493329,2022,6,33,6,8,15,8,4,27,29,93,15,90,44,3
J.D. Martinez,502110,2022,90,91,92,84,81,92,87,64,67,41,50,23,25,
Andrew Benintendi,643217,2022,72,88,49,25,88,31,18,44,35,92,81,76,54,28
Adam Frazier,624428,2022,29,78,17,5,59,3,2,6,3,95,46,96,38,84
Jake Meyers,676694,2022,,,,,,,,,,,,,90,
Austin Meadows,640457,2022,,,,,,,,,,,,,51,
Jose Siri,642350,2022,,,,,,,,,,,,,100,97
Kyle Higashioka,543309,2022,,,,,,,,,,,,,19,
Riley Greene,682985,2022,,,,,,,,,,,,,51,43
Robinson Chirinos,455139,2022,,,,,,,,,,,,,1,
Mitch Garver,641598,2022,50,16,55,73,44,23,57,48,41,32,76,44,31,
Tommy Edman,669242,2022,33,62,25,17,55,48,29,38,31,69,48,81,85,100
James McCann,543510,2022,,,,,,,,,,,,,17,
Edwin Ríos,621458,2022,,,,,,,,,,,,,12,
Oneil Cruz,665833,2022,,,,,,,,,,,,,99,18
Brandon Lowe,664040,2022,,,,,,,,,,,,,53,28
Matt Olson,621566,2022,73,44,75,78,69,95,86,93,94,33,83,25,29,28
Ryan McKenna,663630,2022,,,,,,,,,,,,,97,
Juan Yepez,660766,2022,23,13,60,77,4,40,68,21,21,40,22,40,40,
Tyler O'Neill,641933,2022,33,26,34,40,31,31,67,48,43,10,55,15,98,
Yoán Moncada,660162,2022,14,13,25,37,12,23,51,24,31,21,38,21,58,88
Hunter Renfroe,592669,2022,58,33,81,87,19,79,92,79,76,28,22,33,53,18
Dylan Carlson,666185,2022,36,38,30,31,40,23,24,6,2,65,44,44,72,63
Andrew McCutchen,457705,2022,62,72,58,44,61,63,51,55,54,65,51,67,89,
George Springer,543807,2022,65,55,59,55,67,63,53,42,53,63,60,25,82,77
Alec Bohm,664761,2022,80,98,81,48,71,57,40,74,67,63,7,64,48,6
Kurt Suzuki,435559,2022,,,,,,,,,,,,,3,
Michael A. Taylor,572191,2022,42,26,34,39,40,23,37,11,7,39,67,25,86,63
Cedric Mullins,656775,2022,25,38,21,21,33,40,21,46,31,76,42,73,80,92
Kyle Isbel,664728,2022,,,,,,,,,,,,,68,93
Pavin Smith,656976,2022,39,8,39,69,27,48,82,48,31,23,74,62,36,43
Jace Peterson,607054,2022,44,36,44,50,45,28,53,55,33,27,58,42,82,93
Max Muncy,571970,2022,58,1,31,74,71,79,88,52,60,28,100,42,48,18
Jeff McNeil,643446,2022,41,75,24,12,62,3,2,13,13,94,38,89,48,84
Mookie Betts,605141,2022,81,66,83,81,68,84,69,69,75,77,62,94,45,88
Ke'Bryan Hayes,663647,2022,42,51,25,22,57,23,17,89,89,49,62,73,70,99
Rhys Hoskins,656555,2022,81,44,83,87,68,87,78,73,73,31,79,47,20,28
Adam Engel,641553,2022,,,,,,,,,,,,,92,77
Odúbel Herrera,546318,2022,,,,,,,,,,,,,43,84
Austin Riley,663586,2022,98,94,99,98,86,99,98,99,99,31,40,27,59,1
Edward Olivares,658668,2022,,,,,,,,,,,,,91,
Enrique Hernández,571771,2022,21,32,23,28,28,28,43,24,11,80,44,54,46,84
Willi Castro,650489,2022,23,86,19,3,35,6,9,1,6,60,1,23,75,43
Harold Castro,605612,2022,73,91,83,70,51,31,43,27,41,65,6,87,28,1
Yonathan Daza,602074,2022,48,92,25,4,73,6,6,6,5,96,22,88,77,28
Michael Brantley,488726,2022,94,99,86,53,98,28,30,69,78,97,81,98,11,
Bobby Dalbec,666915,2022,23,8,34,62,15,57,82,69,81,3,53,5,77,28
Jackie Bradley Jr.,598265,2022,5,19,13,21,6,28,30,23,37,56,20,20,46,84
Trevor Story,596115,2022,27,10,46,71,13,73,81,46,45,5,49,19,82,98
Jesse Winker,608385,2022,77,58,60,56,89,57,45,24,13,70,96,83,17,2
C.J. Cron,543068,2022,67,53,78,79,39,92,84,34,67,17,28,56,14,43
Derek Hill,656537,2022,,,,,,,,,,,,,98,
Nomar Mazara,608577,2022,,,,,,,,,,,,,30,
Josh Bell,605137,2022,92,96,83,60,96,76,48,61,53,90,81,76,20,43
AJ Pollock,572041,2022,33,48,50,44,23,57,59,39,50,52,20,32,60,8
Bryan Reynolds,668804,2022,56,51,54,48,65,38,34,42,46,37,66,33,80,6
J.T. Realmuto,592663,2022,73,76,63,50,75,61,55,52,75,54,51,59,86,
Lars Nootbaar,663457,2022,,,,,,,,,,,,,77,
Austin Barnes,605131,2022,,,,,,,,,,,,,36,
Jordan Luplow,656669,2022,,,,,,,,,,,,,56,
Michael Harris II,671739,2022,,,,,,,,,,,,,93,95
Nick Ahmed,605113,2022,,,,,,,,,,,,,69,
Ezequiel Duran,677649,2022,,,,,,,,,,,,,95,
Adam Duvall,594807,2022,21,7,47,75,8,73,86,36,57,3,32,21,68,88
Franmil Reyes,614177,2022,4,2,19,52,1,69,93,93,87,1,10,1,16,
Luis Arraez,650333,2022,80,94,63,31,93,31,18,50,14,100,67,100,38,3
Rowdy Tellez,642133,2022,85,67,91,93,71,92,86,85,77,59,62,64,3,12
Freddie Freeman,518692,2022,98,100,98,94,99,94,72,90,86,86,78,80,42,63
Albert Pujols,405395,2022,,,,,,,,,,,,,1,
Donovan Walton,622268,2022,,,,,,,,,,,,,58,
Bradley Zimmer,605548,2022,,,,,,,,,,,,,96,
Dairon Blanco,680118,2022,,,,,,,,,,,,,89,
Canaan Smith-Njigba,675986,2022,,,,,,,,,,,,,40,
Travis Swaggerty,680552,2022,,,,,,,,,,,,,73,
Jerar Encarnacion,666464,2022,,,,,,,,,,,,,78,
Connor Wong,657136,2022,,,,,,,,,,,,,30,
Estevan Florial,664314,2022,,,,,,,,,,,,,70,
Ender Inciarte,542255,2022,,,,,,,,,,,,,16,
Alex Call,669743,2022,,,,,,,,,,,,,79,
Kevin Pillar,607680,2022,,,,,,,,,,,,,48,
Bryan Lavastida,681526,2022,,,,,,,,,,,,,18,
Lenyn Sosa,672820,2022,,,,,,,,,,,,,63,
Dermis Garcia,660650,2022,,,,,,,,,,,,,52,
Matthew Batten,676946,2022,,,,,,,,,,,,,96,
Mark Kolozsvary,656627,2022,,,,,,,,,,,,,71,
Heliot Ramos,671218,2022,,,,,,,,,,,,,57,
Luis Campusano,669134,2022,,,,,,,,,,,,,24,
Pedro Severino,600474,2022,,,,,,,,,,,,,12,
Gabriel Arias,672356,2022,,,,,,,,,,,,,55,
Stuart Fairchild,656413,2022,,,,,,,,,,,,,90,
Iván Herrera,671056,2022,,,,,,,,,,,,,28,
Pablo Reyes,622569,2022,,,,,,,,,,,,,49,
Jonathan Aranda,666018,2022,,,,,,,,,,,,,25,
Kevin Padlo,656821,2022,,,,,,,,,,,,,21,
Tres Barrera,668663,2022,,,,,,,,,,,,,2,
Michael Hermosillo,641684,2022,,,,,,,,,,,,,86,
Manny Piña,444489,2022,,,,,,,,,,,,,3,
Maikel Garcia,672580,2022,,,,,,,,,,,,,86,
Meibrys Viloria,650619,2022,,,,,,,,,,,,,18,
Adam Haseley,656514,2022,,,,,,,,,,,,,59,
Korey Lee,686676,2022,,,,,,,,,,,,,73,
Greg Allen,656185,2022,,,,,,,,,,,,,69,
Conner Capel,668843,2022,,,,,,,,,,,,,51,
Elier Hernandez,609274,2022,,,,,,,,,,,,,79,
Nick Plummer,663911,2022,,,,,,,,,,,,,24,
Lucius Fox,665650,2022,,,,,,,,,,,,,93,
Eddy Alvarez,657193,2022,,,,,,,,,,,,,41,
Jermaine Palacios,650339,2022,,,,,,,,,,,,,68,
Tim Locastro,641796,2022,,,,,,,,,,,,,99,
Jeter Downs,669023,2022,,,,,,,,,,,,,84,
Niko Goodrum,592348,2022,,,,,,,,,,,,,56,
Richie Martin,621006,2022,,,,,,,,,,,,,88,
Kelvin Gutiérrez,642721,2022,,,,,,,,,,,,,80,
Tom Murphy,608596,2022,,,,,,,,,,,,,37,
Yolmer Sánchez,570560,2022,,,,,,,,,,,,,11,
Payton Henry,668721,2022,,,,,,,,,,,,,29,
Max Schrock,621011,2022,,,,,,,,,,,,,15,
Lewin Díaz,650331,2022,,,,,,,,,,,,,1,
Ildemaro Vargas,545121,2022,,,,,,,,,,,,,29,
Matt Davidson,571602,2022,,,,,,,,,,,,,5,
Yonny Hernandez,660634,2022,,,,,,,,,,,,,39,
JJ Bleday,668709,2022,,,,,,,,,,,,,61,
Esteury Ruiz,665923,2022,,,,,,,,,,,,,99,
Andrew Knapp,595284,2022,,,,,,,,,,,,,34,
Dom Nuñez,624513,2022,,,,,,,,,,,,,5,
Alex Dickerson,543105,2022,,,,,,,,,,,,,20,
Zach Reks,676646,2022,,,,,,,,,,,,,9,
Austin Romine,519222,2022,,,,,,,,,,,,,10,
David Bote,623520,2022,,,,,,,,,,,,,35,
Erik González,570481,2022,,,,,,,,,,,,,70,
Justin Upton,457708,2022,,,,,,,,,,,,,48,
Mike Ford,645801,2022,,,,,,,,,,,,,2,
Steven Duggar,621453,2022,,,,,,,,,,,,,65,
Mitch Haniger,571745,2022,,,,,,,,,,,,,45,
Jackson Frazier,640449,2022,,,,,,,,,,,,,38,
David MacKinnon,676950,2022,,,,,,,,,,,,,23,
Nick Pratto,668472,2022,,,,,,,,,,,,,60,
Mickey Moniak,666160,2022,,,,,,,,,,,,,42,
Jonathan Araúz,660620,2022,,,,,,,,,,,,,23,
Adalberto Mondesi,609275,2022,,,,,,,,,,,,,46,
Alan Trejo,676701,2022,,,,,,,,,,,,,20,
Roman Quinn,596451,2022,,,,,,,,,,,,,98,
Jason Delay,641511,2022,,,,,,,,,,,,,26,
Cam Gallagher,595956,2022,,,,,,,,,,,,,8,
Matt Beaty,607461,2022,,,,,,,,,,,,,40,
