,player_name,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,xera,fb_velocity,fb_spin,curve_spin,rating
39,Cole Sulser,0.86,0.85,0.82,0.74,0.85,0.67,0.45,0.66,0.38,0.8,0.41,0.79,0.86,0.49,0.62,0.42,10.67
40,Matt Barnes,0.94,0.97,0.89,0.61,0.94,0.76,0.2,0.25,0.28,0.98,0.39,0.91,0.94,0.85,0.58,0.11,10.6
41,Génesis Cabrera,0.7,0.83,0.85,0.81,0.39,0.81,0.83,0.6,0.79,0.65,0.11,0.5,0.7,0.97,0.58,0.46,10.58
42,Yu Darvish,0.81,0.83,0.63,0.42,0.91,0.09,0.33,0.64,0.79,0.84,0.77,0.61,0.81,0.13,0.99,0.82,10.42
43,Michael Fulmer,0.63,0.45,0.55,0.64,0.61,0.67,0.68,0.87,0.76,0.58,0.73,0.74,0.63,0.83,0.4,0.62,10.39
44,Chad Green,0.84,0.81,0.48,0.27,0.96,0.36,0.07,0.41,0.13,0.9,0.89,0.85,0.84,0.84,0.94,0.69,10.28
45,Sandy Alcantara,0.75,0.57,0.65,0.73,0.8,0.11,0.76,0.76,0.42,0.54,0.83,0.61,0.75,0.98,0.6,0.41,10.27
46,Dylan Cease,0.7,0.83,0.7,0.54,0.7,0.07,0.15,0.38,0.48,0.93,0.32,0.94,0.7,0.92,0.97,0.86,10.19
47,Pablo López,0.74,0.61,0.64,0.65,0.76,0.42,0.54,0.87,0.88,0.77,0.8,0.46,0.74,0.52,0.22,0.56,10.18
48,Max Fried,0.75,0.56,0.7,0.77,0.76,0.24,0.72,0.9,0.82,0.51,0.81,0.36,0.75,0.6,0.18,0.75,10.18
49,Tyler Kinley,0.61,0.59,0.54,0.51,0.63,0.67,0.68,0.41,0.74,0.47,0.42,0.72,0.61,0.86,0.8,0.86,10.12
50,Shohei Ohtani,0.81,0.85,0.81,0.71,0.77,0.34,0.59,0.57,0.38,0.85,0.5,0.71,0.81,0.57,0.46,0.37,10.1
51,Chris Stratton,0.66,0.65,0.62,0.6,0.61,0.57,0.62,0.46,0.64,0.62,0.29,0.67,0.66,0.45,0.99,0.98,10.09
52,Lance McCullers Jr.,0.78,0.83,0.92,0.91,0.57,0.36,0.86,0.25,0.32,0.72,0.17,0.78,0.78,0.6,0.25,0.94,10.04
53,Justin Steele,0.54,0.67,0.65,0.66,0.33,0.87,0.82,0.71,0.78,0.52,0.19,0.63,0.54,0.47,0.93,0.71,10.02
54,José Alvarado,0.48,0.88,0.94,0.92,0.01,0.97,0.96,0.78,0.21,0.73,0.01,0.9,0.48,0.99,0.2,0.48,9.94
55,Nathan Eovaldi,0.8,0.51,0.68,0.79,0.84,0.16,0.72,0.68,0.67,0.62,0.96,0.47,0.8,0.86,0.29,0.09,9.94
56,Aaron Nola,0.8,0.7,0.62,0.54,0.89,0.13,0.59,0.48,0.6,0.86,0.92,0.65,0.8,0.36,0.36,0.62,9.92
57,Kenta Maeda,0.68,0.59,0.6,0.59,0.69,0.45,0.72,0.74,0.67,0.6,0.69,0.73,0.68,0.14,0.53,0.73,9.83
58,Brandon Bielak,0.54,0.4,0.65,0.83,0.33,0.92,0.92,0.82,0.81,0.31,0.32,0.43,0.54,0.53,0.83,0.58,9.76
59,Joe Musgrove,0.58,0.54,0.55,0.58,0.57,0.13,0.58,0.72,0.52,0.73,0.67,0.73,0.58,0.32,0.99,0.88,9.67
